,pretty_formula,spacegroup,material_id,e_above_hull,band_gap,elements,tolerance
161,Cs2NaInBr6,"{'symprec': 0.1, 'source': 'spglib', 'symbol': 'Fm-3m', 'number': 225, 'point_group': 'm-3m', 'crystal_system': 'cubic', 'hall': '-F 4 2 3'}",mp-996943,0.0,1.9899,"['Br', 'In', 'Na']",['4.178281870143371']
166,Cs2TlAsCl6,"{'symprec': 0.1, 'source': 'spglib', 'symbol': 'Fm-3m', 'number': 225, 'point_group': 'm-3m', 'crystal_system': 'cubic', 'hall': '-F 4 2 3'}",mp-1112502,0.0135054500000011,2.076,"['As', 'Cl', 'Tl']",['4.014458975801913']
172,Cs2KGaBr6,"{'symprec': 0.1, 'source': 'spglib', 'symbol': 'Fm-3m', 'number': 225, 'point_group': 'm-3m', 'crystal_system': 'cubic', 'hall': '-F 4 2 3'}",mp-1112623,0.0789130177499988,2.1457,"['Br', 'Ga', 'K']",['4.174861286999247']
177,Cs2LaCuCl6,"{'symprec': 0.1, 'source': 'spglib', 'symbol': 'Fm-3m', 'number': 225, 'point_group': 'm-3m', 'crystal_system': 'cubic', 'hall': '-F 4 2 3'}",mp-1113523,0.0525490888749979,2.2036,"['Cl', 'Cu', 'La']",['4.014737396037744']
188,Cs2DyCuCl6,"{'symprec': 0.1, 'source': 'spglib', 'symbol': 'Fm-3m', 'number': 225, 'point_group': 'm-3m', 'crystal_system': 'cubic', 'hall': '-F 4 2 3'}",mp-1112958,0.0391387974166663,2.3142,"['Cl', 'Cu', 'Dy']",['4.049920567823712']
194,Cs2PrCuCl6,"{'symprec': 0.1, 'source': 'spglib', 'symbol': 'Fm-3m', 'number': 225, 'point_group': 'm-3m', 'crystal_system': 'cubic', 'hall': '-F 4 2 3'}",mp-1112617,0.0537259502291669,2.3993,"['Cl', 'Cu', 'Pr']",['4.022403007276617']
197,Cs2TmCuCl6,"{'symprec': 0.1, 'source': 'spglib', 'symbol': 'Fm-3m', 'number': 225, 'point_group': 'm-3m', 'crystal_system': 'cubic', 'hall': '-F 4 2 3'}",mp-1112615,0.0399365562500011,2.4663000000000004,"['Cl', 'Cu', 'Tm']",['4.06664383235398']
199,Cs2ErCuCl6,"{'symprec': 0.1, 'source': 'spglib', 'symbol': 'Fm-3m', 'number': 225, 'point_group': 'm-3m', 'crystal_system': 'cubic', 'hall': '-F 4 2 3'}",mp-1112917,0.0398346943333334,2.4799999999999995,"['Cl', 'Cu', 'Er']",['4.061057017500557']
200,Cs2AlAgCl6,"{'symprec': 0.1, 'source': 'spglib', 'symbol': 'Fm-3m', 'number': 225, 'point_group': 'm-3m', 'crystal_system': 'cubic', 'hall': '-F 4 2 3'}",mp-1113621,0.0615589037500017,2.4879,"['Ag', 'Al', 'Cl']",['4.124960314353214']
206,Cs2YCuCl6,"{'symprec': 0.1, 'source': 'spglib', 'symbol': 'Fm-3m', 'number': 225, 'point_group': 'm-3m', 'crystal_system': 'cubic', 'hall': '-F 4 2 3'}",mp-1112909,0.0402206152500053,2.5659999999999994,"['Cl', 'Cu', 'Y']",['4.05580074816085']
209,Cs2SmCuCl6,"{'symprec': 0.1, 'source': 'spglib', 'symbol': 'Fm-3m', 'number': 225, 'point_group': 'm-3m', 'crystal_system': 'cubic', 'hall': '-F 4 2 3'}",mp-1112618,0.0327577754999994,2.6071000000000004,"['Cl', 'Cu', 'Sm']",['4.031522074820286']
210,Cs2TbCuCl6,"{'symprec': 0.1, 'source': 'spglib', 'symbol': 'Fm-3m', 'number': 225, 'point_group': 'm-3m', 'crystal_system': 'cubic', 'hall': '-F 4 2 3'}",mp-1113333,0.0298647117499997,2.6108,"['Cl', 'Cu', 'Tb']",['4.044931492515818']
211,Cs2TlGaCl6,"{'symprec': 0.1, 'source': 'spglib', 'symbol': 'Fm-3m', 'number': 225, 'point_group': 'm-3m', 'crystal_system': 'cubic', 'hall': '-F 4 2 3'}",mp-1112002,0.0533273534999989,2.6752,"['Cl', 'Ga', 'Tl']",['4.030554089572161']
216,Cs2LiGdCl6,"{'symprec': 0.1, 'source': 'spglib', 'symbol': 'Fm-3m', 'number': 225, 'point_group': 'm-3m', 'crystal_system': 'cubic', 'hall': '-F 4 2 3'}",mp-1112624,0.0006076935000018,2.7824,"['Cl', 'Gd', 'Li']",['4.043714059697319']
218,Cs2LiInCl6,"{'symprec': 0.1, 'source': 'spglib', 'symbol': 'Fm-3m', 'number': 225, 'point_group': 'm-3m', 'crystal_system': 'cubic', 'hall': '-F 4 2 3'}",mp-1113017,0.0133167270000025,2.7831,"['Cl', 'In', 'Li']",['4.133370208769357']
221,Cs2NaGaCl6,"{'symprec': 0.1, 'source': 'spglib', 'symbol': 'Fm-3m', 'number': 225, 'point_group': 'm-3m', 'crystal_system': 'cubic', 'hall': '-F 4 2 3'}",mp-1112988,0.0534598494999989,2.8457,"['Cl', 'Ga', 'Na']",['4.10647929267005']
222,Cs2ScAgBr6,"{'symprec': 0.1, 'source': 'spglib', 'symbol': 'Fm-3m', 'number': 225, 'point_group': 'm-3m', 'crystal_system': 'cubic', 'hall': '-F 4 2 3'}",mp-1113451,0.0181497076874999,2.888,"['Ag', 'Br', 'Sc']",['4.174862485938187']
224,Cs2LiSbCl6,"{'symprec': 0.1, 'source': 'spglib', 'symbol': 'Fm-3m', 'number': 225, 'point_group': 'm-3m', 'crystal_system': 'cubic', 'hall': '-F 4 2 3'}",mp-1112676,0.0183836927499987,2.9461,"['Cl', 'Li', 'Sb']",['4.172737018732377']
230,Cs2NaGdCl6,"{'symprec': 0.1, 'source': 'spglib', 'symbol': 'Fm-3m', 'number': 225, 'point_group': 'm-3m', 'crystal_system': 'cubic', 'hall': '-F 4 2 3'}",mp-1112657,0.0,3.0097,"['Cl', 'Gd', 'Na']",['4.042148970808524']
