,pretty_formula,spacegroup,material_id,e_above_hull,band_gap,elements,tolerance
241,Cs2RbInI6,"{'symprec': 0.1, 'source': 'spglib', 'symbol': 'Fm-3m', 'number': 225, 'point_group': 'm-3m', 'crystal_system': 'cubic', 'hall': '-F 4 2 3'}",mp-1112521,0.0654839687499992,1.3992,"['Cs', 'I', 'In', 'Rb']",[5.705057939650627]
242,KRb2TlBr6,"{'symprec': 0.1, 'source': 'spglib', 'symbol': 'Fm-3m', 'number': 225, 'point_group': 'm-3m', 'crystal_system': 'cubic', 'hall': '-F 4 2 3'}",mp-1114413,0.0504750892500007,1.4021,"['Br', 'K', 'Rb', 'Tl']",[5.088537494732616]
243,Rb2TlInI6,"{'symprec': 0.1, 'source': 'spglib', 'symbol': 'Fm-3m', 'number': 225, 'point_group': 'm-3m', 'crystal_system': 'cubic', 'hall': '-F 4 2 3'}",mp-1114396,0.0760457556666676,1.4026999999999998,"['I', 'In', 'Rb', 'Tl']",[5.244511102232506]
244,Rb2NaCrCl6,"{'symprec': 0.1, 'source': 'spglib', 'symbol': 'Fm-3m', 'number': 225, 'point_group': 'm-3m', 'crystal_system': 'cubic', 'hall': '-F 4 2 3'}",mp-1206059,0.0,1.4031,"['Cl', 'Cr', 'Na', 'Rb']",[4.229311424364017]
245,Cs2TlInI6,"{'symprec': 0.1, 'source': 'spglib', 'symbol': 'Fm-3m', 'number': 225, 'point_group': 'm-3m', 'crystal_system': 'cubic', 'hall': '-F 4 2 3'}",mp-1112107,0.0395011467499992,1.4066999999999998,"['Cs', 'I', 'In', 'Tl']",[4.623750647539976]
246,Rb2NaMoI6,"{'symprec': 0.1, 'source': 'spglib', 'symbol': 'Fm-3m', 'number': 225, 'point_group': 'm-3m', 'crystal_system': 'cubic', 'hall': '-F 4 2 3'}",mp-1114447,0.0974806145833344,1.4146,"['I', 'Mo', 'Na', 'Rb']",[4.67087476433462]
247,Rb2AgBiI6,"{'symprec': 0.1, 'source': 'spglib', 'symbol': 'Fm-3m', 'number': 225, 'point_group': 'm-3m', 'crystal_system': 'cubic', 'hall': '-F 4 2 3'}",mp-1113745,0.0488344461250016,1.4200000000000002,"['Ag', 'Bi', 'I', 'Rb']",[5.202263838972561]
248,Cs2AgBiI6,"{'symprec': 0.1, 'source': 'spglib', 'symbol': 'Fm-3m', 'number': 225, 'point_group': 'm-3m', 'crystal_system': 'cubic', 'hall': '-F 4 2 3'}",mp-1113574,0.029289354312501,1.425,"['Ag', 'Bi', 'Cs', 'I']",[4.605178622092895]
249,Rb2AlInI6,"{'symprec': 0.1, 'source': 'spglib', 'symbol': 'Fm-3m', 'number': 225, 'point_group': 'm-3m', 'crystal_system': 'cubic', 'hall': '-F 4 2 3'}",mp-1114521,0.0774250985,1.4440000000000002,"['Al', 'I', 'In', 'Rb']",[]
250,Cs2AlInI6,"{'symprec': 0.1, 'source': 'spglib', 'symbol': 'Fm-3m', 'number': 225, 'point_group': 'm-3m', 'crystal_system': 'cubic', 'hall': '-F 4 2 3'}",mp-1112896,0.0432952184999999,1.4695,"['Al', 'Cs', 'I', 'In']",[]
251,Cs2NaMoBr6,"{'symprec': 0.1, 'source': 'spglib', 'symbol': 'Fm-3m', 'number': 225, 'point_group': 'm-3m', 'crystal_system': 'cubic', 'hall': '-F 4 2 3'}",mp-1112009,0.028755533,1.4759000000000002,"['Br', 'Cs', 'Mo', 'Na']",[4.227772745359026]
252,Cs2AlAgBr6,"{'symprec': 0.1, 'source': 'spglib', 'symbol': 'Fm-3m', 'number': 225, 'point_group': 'm-3m', 'crystal_system': 'cubic', 'hall': '-F 4 2 3'}",mp-1113577,0.0780743886250001,1.4771,"['Ag', 'Al', 'Br', 'Cs']",[4.316194463491987]
253,Rb2NaMoBr6,"{'symprec': 0.1, 'source': 'spglib', 'symbol': 'Fm-3m', 'number': 225, 'point_group': 'm-3m', 'crystal_system': 'cubic', 'hall': '-F 4 2 3'}",mp-1114445,0.0454517584583324,1.4893999999999998,"['Br', 'Mo', 'Na', 'Rb']",[4.384795348393759]
254,Rb2AlAgBr6,"{'symprec': 0.1, 'source': 'spglib', 'symbol': 'Fm-3m', 'number': 225, 'point_group': 'm-3m', 'crystal_system': 'cubic', 'hall': '-F 4 2 3'}",mp-1113743,0.0775170589999985,1.4966,"['Ag', 'Al', 'Br', 'Rb']",[4.427929248622067]
255,Cs2RbTlBr6,"{'symprec': 0.1, 'source': 'spglib', 'symbol': 'Fm-3m', 'number': 225, 'point_group': 'm-3m', 'crystal_system': 'cubic', 'hall': '-F 4 2 3'}",mp-1112116,0.0305719872499996,1.5141,"['Br', 'Cs', 'Rb', 'Tl']",[6.2093504614476105]
256,Cs2KMoI6,"{'symprec': 0.1, 'source': 'spglib', 'symbol': 'Fm-3m', 'number': 225, 'point_group': 'm-3m', 'crystal_system': 'cubic', 'hall': '-F 4 2 3'}",mp-1113040,0.0778515812083342,1.5167000000000002,"['Cs', 'I', 'K', 'Mo']",[4.439653498187949]
257,Cs2LiTlCl6,"{'symprec': 0.1, 'source': 'spglib', 'symbol': 'Fm-3m', 'number': 225, 'point_group': 'm-3m', 'crystal_system': 'cubic', 'hall': '-F 4 2 3'}",mp-1112999,0.0174196030000017,1.5311,"['Cl', 'Cs', 'Li', 'Tl']",[4.070451793229461]
258,Rb2LiMoCl6,"{'symprec': 0.1, 'source': 'spglib', 'symbol': 'Fm-3m', 'number': 225, 'point_group': 'm-3m', 'crystal_system': 'cubic', 'hall': '-F 4 2 3'}",mp-1114423,0.0,1.5319,"['Cl', 'Li', 'Mo', 'Rb']",[4.330363657156111]
259,Rb2AgAsCl6,"{'symprec': 0.1, 'source': 'spglib', 'symbol': 'Fm-3m', 'number': 225, 'point_group': 'm-3m', 'crystal_system': 'cubic', 'hall': '-F 4 2 3'}",mp-1113376,0.0,1.5581,"['Ag', 'As', 'Cl', 'Rb']",[4.212319376242059]
260,Rb2LiTlCl6,"{'symprec': 0.1, 'source': 'spglib', 'symbol': 'Fm-3m', 'number': 225, 'point_group': 'm-3m', 'crystal_system': 'cubic', 'hall': '-F 4 2 3'}",mp-989579,0.0155915151666672,1.5623,"['Rb', 'Li', 'Tl', 'Cl']",[4.210789760533055]
261,Cs2LiInBr6,"{'symprec': 0.1, 'source': 'spglib', 'symbol': 'Fm-3m', 'number': 225, 'point_group': 'm-3m', 'crystal_system': 'cubic', 'hall': '-F 4 2 3'}",mp-989405,0.0,1.5789,"['Cs', 'Li', 'In', 'Br']",[4.325741149785323]
262,Cs2LiMoCl6,"{'symprec': 0.1, 'source': 'spglib', 'symbol': 'Fm-3m', 'number': 225, 'point_group': 'm-3m', 'crystal_system': 'cubic', 'hall': '-F 4 2 3'}",mp-1113012,0.0319260004583332,1.5922,"['Cl', 'Cs', 'Li', 'Mo']",[4.2594099915009505]
263,Cs2KCrCl6,"{'symprec': 0.1, 'source': 'spglib', 'symbol': 'Fm-3m', 'number': 225, 'point_group': 'm-3m', 'crystal_system': 'cubic', 'hall': '-F 4 2 3'}",mp-1205683,0.0,1.5968,"['Cl', 'Cr', 'Cs', 'K']",[4.0121490684921195]
264,Rb2AgBiBr6,"{'symprec': 0.1, 'source': 'spglib', 'symbol': 'Fm-3m', 'number': 225, 'point_group': 'm-3m', 'crystal_system': 'cubic', 'hall': '-F 4 2 3'}",mp-1113805,0.0241168733749996,1.5972000000000002,"['Ag', 'Bi', 'Br', 'Rb']",[4.981746009471402]
265,Cs2AgAsCl6,"{'symprec': 0.1, 'source': 'spglib', 'symbol': 'Fm-3m', 'number': 225, 'point_group': 'm-3m', 'crystal_system': 'cubic', 'hall': '-F 4 2 3'}",mp-1113543,0.00833102675,1.606,"['Ag', 'As', 'Cl', 'Cs']",[4.074887868952533]
266,Cs2NaGaBr6,"{'symprec': 0.1, 'source': 'spglib', 'symbol': 'Fm-3m', 'number': 225, 'point_group': 'm-3m', 'crystal_system': 'cubic', 'hall': '-F 4 2 3'}",mp-1110642,0.0752740187499991,1.6198,"['Br', 'Cs', 'Ga', 'Na']",[4.295102588230495]
