,material_id,symbols,spin_polarized,bandgap,fermi_energy,is_metal,space_group_number
32,3_scan/mp-1112134,"['Cs', 'Cs', 'Rb', 'As', 'Br', 'Br', 'Br', 'Br', 'Br', 'Br']",True,"{'direct': True, 'energy': 3.1762, 'transition': '(0.500,0.500,0.500)-(0.500,0.500,0.500)'}",-0.74768146,False,225
33,3_scan/mp-1300191,"['Ca', 'Cl', 'Cl', 'Cl', 'Cl', 'Cl', 'Cl', 'Cs', 'Cs', 'Hg']",False,"{'direct': False, 'energy': 3.1224999999999996, 'transition': '(0.000,0.500,0.000)-(0.000,0.000,0.000)'}",-0.68210738,False,87
34,3_scan/mp-1300282,"['Cs', 'Cs', 'Cs', 'Cs', 'Zn', 'Zn', 'Co', 'Co', 'Cl', 'Cl', 'Cl', 'Cl', 'Cl', 'Cl', 'Cl', 'Cl', 'Cl', 'Cl', 'Cl', 'Cl']",True,"{'direct': False, 'energy': 3.4574, 'transition': '(0.200,0.200,0.000)-(0.500,0.000,0.000)'}",-0.5403973,False,1
35,3_scan/mp-1300200,"['Cl', 'Cl', 'Cl', 'Cl', 'Cl', 'Cl', 'Cs', 'Cs', 'Sn', 'V']",True,"{'direct': False, 'energy': 3.4659999999999997, 'transition': '(0.500,0.500,0.500)-(0.286,-0.250,0.167)'}",1.23815256,False,1
36,3_scan/mp-1300234,"['Cs', 'Cs', 'Cs', 'Cs', 'Sn', 'Sn', 'Pb', 'Pb', 'Cl', 'Cl', 'Cl', 'Cl', 'Cl', 'Cl', 'Cl', 'Cl', 'Cl', 'Cl', 'Cl', 'Cl']",False,"{'direct': True, 'energy': 2.0297, 'transition': '(0.000,0.000,0.000)-(0.000,0.000,0.000)'}",1.84441378,False,1
37,3_scan/mp-1300285,"['Cs', 'Cs', 'Cs', 'Cs', 'Zn', 'Zn', 'Cd', 'Cd', 'Cl', 'Cl', 'Cl', 'Cl', 'Cl', 'Cl', 'Cl', 'Cl', 'Cl', 'Cl', 'Cl', 'Cl']",True,"{'energy': 0.0, 'direct': False, 'transition': None}",-1.29563667,True,1
38,3_scan/mp-1112112,"['Cs', 'Cs', 'Tl', 'As', 'Br', 'Br', 'Br', 'Br', 'Br', 'Br']",False,"{'direct': True, 'energy': 1.2418, 'transition': '(0.000,0.000,0.000)-(0.000,0.000,0.000)'}",1.25698283,False,166
39,3_scan/mp-1300277,"['Cs', 'Cs', 'Cs', 'Cs', 'In', 'In', 'Au', 'Au', 'Cl', 'Cl', 'Cl', 'Cl', 'Cl', 'Cl', 'Cl', 'Cl', 'Cl', 'Cl', 'Cl', 'Cl']",True,"{'direct': True, 'energy': 2.6171, 'transition': '(0.000,0.000,0.000)-(0.000,0.000,0.000)'}",0.55518438,False,1
40,3_scan/mp-1300307,"['Cl', 'Cl', 'Cl', 'Cl', 'Cl', 'Cl', 'Cs', 'Cs', 'K', 'Mo']",True,"{'direct': False, 'energy': 2.4794, 'transition': '(0.000,0.000,0.500)-(0.500,0.000,0.000)'}",0.21873861,False,1
41,3_scan/mp-1300042,"['Cl', 'Cl', 'Cl', 'Cl', 'Cl', 'Cl', 'Cs', 'Cs', 'Pb', 'Ti']",False,"{'direct': False, 'energy': 2.2632000000000003, 'transition': '(0.500,0.500,0.000)-(0.500,0.500,-0.500)'}",2.228235,False,1
42,3_scan/mp-1112618,"['Cs', 'Cs', 'Sm', 'Cu', 'Cl', 'Cl', 'Cl', 'Cl', 'Cl', 'Cl']",True,"{'direct': False, 'energy': 3.4944999999999995, 'transition': '(0.500,0.000,0.000)-(0.000,0.000,0.000)'}",1.78410559,False,225
43,3_scan/mp-567172,"['Cs', 'Cs', 'Na', 'Yb', 'Cl', 'Cl', 'Cl', 'Cl', 'Cl', 'Cl']",True,"{'direct': True, 'energy': 6.1813, 'transition': '(0.000,0.000,0.000)-(0.000,0.000,0.000)'}",-1.03629986,False,225
44,3_scan/mp-1300207,"['Cl', 'Cl', 'Cl', 'Cl', 'Cl', 'Cl', 'Cs', 'Cs', 'K', 'Tl']",False,"{'direct': False, 'energy': 2.8878, 'transition': '(0.000,0.000,0.500)-(0.000,0.000,0.000)'}",-1.2248948,False,1
45,3_scan/mp-1300009,"['Ag', 'Cl', 'Cl', 'Cl', 'Cl', 'Cl', 'Cl', 'Cs', 'Cs', 'Sc']",True,"{'direct': False, 'energy': 3.9078999999999997, 'transition': '(0.500,0.500,0.500)-(0.500,0.000,0.500)'}",0.6049491,False,1
46,3_scan/mp-1112530,"['Cs', 'Cs', 'Na', 'Ta', 'Cl', 'Cl', 'Cl', 'Cl', 'Cl', 'Cl']",True,"{'energy': 0.0, 'direct': False, 'transition': None}",3.16433203,True,225
47,3_scan/mp-1300187,"['Cd', 'Cl', 'Cl', 'Cl', 'Cl', 'Cl', 'Cl', 'Cs', 'Cs', 'Sn']",True,"{'direct': False, 'energy': 2.134, 'transition': '(0.500,0.000,0.500)-(0.500,0.000,0.000)'}",1.19554959,False,1
48,3_scan/mp-1300292,"['Cl', 'Cl', 'Cl', 'Cl', 'Cl', 'Cl', 'Cs', 'Cs', 'Hg', 'Sb']",False,"{'energy': 0.0, 'direct': False, 'transition': None}",1.83219576,True,225
49,3_scan/mp-1300022,"['Cl', 'Cl', 'Cl', 'Cl', 'Cl', 'Cl', 'Cs', 'Cs', 'Pd', 'Tl']",False,"{'energy': 0.0, 'direct': False, 'transition': None}",1.6853192,True,1
50,3_scan/mp-1300211,"['Cs', 'Cs', 'Cs', 'Cs', 'Rb', 'Rb', 'Y', 'Y', 'Cl', 'Cl', 'Cl', 'Cl', 'Cl', 'Cl', 'Cl', 'Cl', 'Cl', 'Cl', 'Cl', 'Cl']",True,"{'direct': False, 'energy': 5.8727, 'transition': '(0.000,0.500,0.500)-(0.000,0.000,0.000)'}",-1.7721711,False,1
51,3_scan/mp-1113042,"['Cs', 'Cs', 'K', 'Mo', 'Cl', 'Cl', 'Cl', 'Cl', 'Cl', 'Cl']",True,"{'direct': True, 'energy': 2.4839, 'transition': '(0.500,0.500,0.000)-(0.500,0.500,0.000)'}",1.22925164,False,225
52,3_scan/mp-1300156,"['Cl', 'Cl', 'Cl', 'Cl', 'Cl', 'Cl', 'Cr', 'Cs', 'Cs', 'Pt']",True,"{'direct': True, 'energy': 1.8475, 'transition': '(-0.500,-0.500,0.500)-(-0.500,-0.500,0.500)'}",1.35586816,False,1
53,3_scan/mp-1113024,"['Cs', 'Cs', 'Li', 'Bi', 'Cl', 'Cl', 'Cl', 'Cl', 'Cl', 'Cl']",False,"{'direct': False, 'energy': 4.062, 'transition': '(0.500,0.500,0.000)-(0.500,0.000,0.000)'}",0.19012916,False,166
54,3_scan/mp-1300091,"['Ca', 'Cl', 'Cl', 'Cl', 'Cl', 'Cl', 'Cl', 'Cs', 'Cs', 'Pb']",False,"{'direct': False, 'energy': 4.892, 'transition': '(0.000,0.500,0.000)-(0.500,0.000,0.000)'}",-0.23841825,False,87
55,3_scan/mp-1300175,"['Cl', 'Cl', 'Cl', 'Cl', 'Cl', 'Cl', 'Cs', 'Cs', 'Ni', 'Sr']",True,"{'direct': False, 'energy': 3.7673, 'transition': '(0.000,0.000,0.000)-(0.500,0.500,0.500)'}",-0.34694729,False,1
